name	type	units	sampling_frequency	description
AF3	EEG	uV	128	n/a
F7	EEG	uV	128	n/a
F3	EEG	uV	128	n/a
FC5	EEG	uV	128	n/a
T7	EEG	uV	128	n/a
P7	EEG	uV	128	n/a
O1	EEG	uV	128	n/a
O2	EEG	uV	128	n/a
P8	EEG	uV	128	n/a
T8	EEG	uV	128	n/a
FC6	EEG	uV	128	n/a
F4	EEG	uV	128	n/a
F8	EEG	uV	128	n/a
AF4	EEG	uV	128	n/a
CQ_AF3	MISC	n/a	128	EMOTIV contact-quality level for AF3 (0=no contact ... 4=good)
CQ_F7	MISC	n/a	128	EMOTIV contact-quality level for F7 (0=no contact ... 4=good)
CQ_F3	MISC	n/a	128	EMOTIV contact-quality level for F3 (0=no contact ... 4=good)
CQ_FC5	MISC	n/a	128	EMOTIV contact-quality level for FC5 (0=no contact ... 4=good)
CQ_T7	MISC	n/a	128	EMOTIV contact-quality level for T7 (0=no contact ... 4=good)
CQ_P7	MISC	n/a	128	EMOTIV contact-quality level for P7 (0=no contact ... 4=good)
CQ_O1	MISC	n/a	128	EMOTIV contact-quality level for O1 (0=no contact ... 4=good)
CQ_O2	MISC	n/a	128	EMOTIV contact-quality level for O2 (0=no contact ... 4=good)
CQ_P8	MISC	n/a	128	EMOTIV contact-quality level for P8 (0=no contact ... 4=good)
CQ_T8	MISC	n/a	128	EMOTIV contact-quality level for T8 (0=no contact ... 4=good)
CQ_FC6	MISC	n/a	128	EMOTIV contact-quality level for FC6 (0=no contact ... 4=good)
CQ_F4	MISC	n/a	128	EMOTIV contact-quality level for F4 (0=no contact ... 4=good)
CQ_F8	MISC	n/a	128	EMOTIV contact-quality level for F8 (0=no contact ... 4=good)
CQ_AF4	MISC	n/a	128	EMOTIV contact-quality level for AF4 (0=no contact ... 4=good)
CQ_Overall	MISC	%	128	EMOTIV overall contact quality, percent of channels at acceptable contact
CQ_CMS	MISC	n/a	128	EMOTIV contact-quality level for the CMS reference electrode (0-4)
CQ_DRL	MISC	n/a	128	EMOTIV contact-quality level for the DRL reference electrode (0-4)
EQ_AF3	MISC	n/a	128	EMOTIV EEG-quality level for AF3 (0=poor ... 4=good)
EQ_F7	MISC	n/a	128	EMOTIV EEG-quality level for F7 (0=poor ... 4=good)
EQ_F3	MISC	n/a	128	EMOTIV EEG-quality level for F3 (0=poor ... 4=good)
EQ_FC5	MISC	n/a	128	EMOTIV EEG-quality level for FC5 (0=poor ... 4=good)
EQ_T7	MISC	n/a	128	EMOTIV EEG-quality level for T7 (0=poor ... 4=good)
EQ_P7	MISC	n/a	128	EMOTIV EEG-quality level for P7 (0=poor ... 4=good)
EQ_O1	MISC	n/a	128	EMOTIV EEG-quality level for O1 (0=poor ... 4=good)
EQ_O2	MISC	n/a	128	EMOTIV EEG-quality level for O2 (0=poor ... 4=good)
EQ_P8	MISC	n/a	128	EMOTIV EEG-quality level for P8 (0=poor ... 4=good)
EQ_T8	MISC	n/a	128	EMOTIV EEG-quality level for T8 (0=poor ... 4=good)
EQ_FC6	MISC	n/a	128	EMOTIV EEG-quality level for FC6 (0=poor ... 4=good)
EQ_F4	MISC	n/a	128	EMOTIV EEG-quality level for F4 (0=poor ... 4=good)
EQ_F8	MISC	n/a	128	EMOTIV EEG-quality level for F8 (0=poor ... 4=good)
EQ_AF4	MISC	n/a	128	EMOTIV EEG-quality level for AF4 (0=poor ... 4=good)
EQ_Overall	MISC	%	128	EMOTIV overall EEG-quality index, percent
EQ_SampleRate	MISC	n/a	128	EMOTIV sample-rate quality, ratio of achieved to nominal sampling rate (-1 to 1)
